label,target
sales@ammouk.co.uk,1
bcs.spares@hotmail.com,1
-?admin@melissalouisechildrensboutique.co.uk,0
hazel@hookersbaits.com,1
thegreatcakewarehouse@yahoo.co.uk,1
orders@thegreatcakewarehouse.co.uk,1
hello@preppersshop.co.uk,1
sales@noveltytoyworld.co.uk,1
webshop@motorsport-developments.co.uk,1
info@ac-schnitzer.co.uk,1
marinesupplies@gapcd.co.uk,1
sales@jaybeemodels.co.uk,1
jamesbentleyarchive@hotmail.com,1
Pipedreams@workmail.com,1
@,0
sayhello@ibexcamping.co.uk,1
@ibexcamping,0
sales@ibexcamping.co.uk,1
abitofabuzz@gmail.com,1
info@kandyking.co.uk,1
sales@thebatteryshop.co.uk,1
sales@ceilingstore.co.uk,1
sales@multicreteproducts.co.uk,1
sales@thecleaningwarehouse.co.uk,1
Munch@MOJO,0
mojocoffeeblackpool@gmail.com,1
sales@proprintsolutions.co.uk,1
help@scalemodelscenery.co.uk,1
admin@bestwoolshop.co.uk,1
ADMIN@ENPOINTEDANCESUPPLIES.CO.UK,1
sales@gwr-fasteners.co.uk,1
rawfeedinglancs@gmail.com,1
enquiries@cascadekoi.com,1
info@nwflags.co.uk,1
sales@nwfweeklyinteriors.co.uk,1
seagullcoaches@gmail.com,1
@eventtravelhub,0
@seagulltravel,0
@SeagullTravNews,0
enquiries@themapcentre.com,1
blenheimcandles@yahoo.com,1
info@apollomusiconline.co.uk,1
sales@thefinesthoney.co.uk,1
sales@fyne-tackle.co.uk,1
SALES@THEBUSHCRAFTSTORE.CO.UK,0
sales@thebushcraftstore.co.uk,1
angie@thelampshadeco.com,1
-@,0
info@abitofbrass.co.uk,1
sales@marble-mosaics.com,1
vat?@,0
sales@tedshop.com,1
darkmatterexeter@gmail.com,1
sales@tangobooks.co.uka1hoodiesdirect@gmail.com,0
a1hoodiesdirect@gmail.com,1
info@afth.co.uk,1
info@arctictechnologies.co.uk,1
@ashaquatics,0
orders@askertoncastle.co.uk,1
support@ayshanazir.co.uk,1
sales@barnlogs.co.uk,1
